-0.2430980000,-0.3014880000,0.3455690000,1.5130084753,-0.6305874587,-0.0747000920
-0.5324000000,-0.4381020000,0.2514690000,0.8033052415,-0.0808785575,1.5379841369
-0.0809210000,-0.3573950000,0.4816820000,1.6429133315,-0.0217642558,-0.1455430063
-0.0894770000,-0.2450990000,0.6964690000,1.3821960478,-0.0792030415,-0.1330988088
-0.3745470000,-0.1972450000,0.5887350000,2.0602913688,-0.4019493267,-1.6433671171
0.0518400000,-0.4287080000,0.4798500000,1.7557139610,0.3936939194,-0.0109432144
0.0591910000,-0.1896150000,0.4665740000,1.3125225041,0.0635997979,-0.1136558409
-0.0315230000,-0.6192740000,0.4963140000,2.0278107914,0.1648114413,-0.0196524074
0.0601340000,-0.3471470000,0.4762420000,1.7883341648,0.3195523327,0.9164200303
0.0050430000,-0.4256880000,0.4691140000,1.8721099689,-0.0216769893,1.4381862102
-0.1255630000,-0.2897400000,0.4052160000,1.3874494889,0.1309695071,0.9114632953
-0.2058000000,-0.2735340000,0.6441890000,1.1987619434,-0.2136457537,0.6464874082
-0.3928000000,-0.0951220000,0.5989100000,1.2493066786,-0.3040887156,-0.0870395698
0.0543640000,-0.2077520000,0.6530570000,1.3821087814,0.5362524127,0.2646442745
0.0102950000,-0.4087860000,0.6312590000,1.5872024218,0.2093173372,-0.0224274809
-0.1006720000,-0.6093270000,0.3617260000,2.1698980458,0.1331162620,-0.3696432823
-0.1531370000,-0.6109030000,0.4009760000,2.0956342862,-0.1479341074,0.1532224550
